b'id',b'key',b'value',b'type'
b'11789583',b'name',b'Bidwell Avenue',b'regular'
b'11789583',b'highway',b'residential',b'regular'
b'11789583',b'cfcc',b'A41',b'tiger'
b'11789583',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789583',b'reviewed',b'no',b'tiger'
b'11789583',b'zip_left',b'44116',b'tiger'
b'11789583',b'name_base',b'Bidwell',b'tiger'
b'11789583',b'name_type',b'Ave',b'tiger'
b'11789583',b'zip_right',b'44116',b'tiger'
b'11789727',b'name',b'McFarland Road',b'regular'
b'11789727',b'highway',b'residential',b'regular'
b'11789727',b'cfcc',b'A41',b'tiger'
b'11789727',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789727',b'reviewed',b'no',b'tiger'
b'11789727',b'zip_left',b'44121',b'tiger'
b'11789727',b'name_base',b'McFarland',b'tiger'
b'11789727',b'name_type',b'Rd',b'tiger'
b'11789727',b'zip_right',b'44121',b'tiger'
b'11789872',b'name',b'Saint Anthony Lane',b'regular'
b'11789872',b'highway',b'residential',b'regular'
b'11789872',b'cfcc',b'A41',b'tiger'
b'11789872',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789872',b'zip_left',b'44111',b'tiger'
b'11789872',b'name_base',b'St Anthony',b'tiger'
b'11789872',b'name_type',b'Ln',b'tiger'
b'11789872',b'zip_right',b'44111',b'tiger'
b'11790028',b'name',b'Appleton Drive',b'regular'
b'11790028',b'highway',b'residential',b'regular'
b'11790028',b'cfcc',b'A41',b'tiger'
b'11790028',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790028',b'reviewed',b'no',b'tiger'
b'11790028',b'zip_left',b'44130',b'tiger'
b'11790028',b'name_base',b'Appleton',b'tiger'
b'11790028',b'name_type',b'Dr',b'tiger'
b'11790028',b'zip_right',b'44130',b'tiger'
b'11790163',b'name',b'Longwood Avenue',b'regular'
b'11790163',b'highway',b'residential',b'regular'
b'11790163',b'cfcc',b'A41',b'tiger'
b'11790163',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790163',b'reviewed',b'no',b'tiger'
b'11790163',b'zip_left',b'44137',b'tiger'
b'11790163',b'name_base',b'Longwood',b'tiger'
b'11790163',b'name_type',b'Ave',b'tiger'
b'11790163',b'zip_right',b'44137',b'tiger'
b'11790381',b'name',b'Streator Court',b'regular'
b'11790381',b'highway',b'service',b'regular'
b'11790381',b'cfcc',b'A41',b'tiger'
b'11790381',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790381',b'zip_left',b'44106',b'tiger'
b'11790381',b'name_base',b'Streator',b'tiger'
b'11790381',b'name_type',b'Ct',b'tiger'
b'11790381',b'zip_right',b'44106',b'tiger'
b'11790531',b'name',"b""Captain's Cove""",b'regular'
b'11790531',b'highway',b'residential',b'regular'
b'11790531',b'cfcc',b'A41',b'tiger'
b'11790531',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790531',b'reviewed',b'no',b'tiger'
b'11790531',b'zip_left',b'44107',b'tiger'
b'11790531',b'name_base',"b""Captain's""",b'tiger'
b'11790531',b'name_type',b'Cv',b'tiger'
b'11790531',b'zip_right',b'44107',b'tiger'
b'11790700',b'name',b'Grandview Avenue',b'regular'
b'11790700',b'highway',b'residential',b'regular'
b'11790700',b'cfcc',b'A41',b'tiger'
b'11790700',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790700',b'reviewed',b'no',b'tiger'
b'11790700',b'zip_left',b'44106',b'tiger'
b'11790700',b'name_base',b'Grandview',b'tiger'
b'11790700',b'name_type',b'Ave',b'tiger'
b'11790700',b'zip_right',b'44106',b'tiger'
b'11790825',b'name',b'Dianne Drive',b'regular'
b'11790825',b'highway',b'residential',b'regular'
b'11790825',b'cfcc',b'A41',b'tiger'
b'11790825',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790825',b'reviewed',b'no',b'tiger'
b'11790825',b'zip_left',b'44122',b'tiger'
b'11790825',b'name_base',b'Dianne',b'tiger'
b'11790825',b'name_type',b'Dr',b'tiger'
b'11790825',b'zip_right',b'44122',b'tiger'
b'11790987',b'name',b'Ridge Peak Court',b'regular'
b'11790987',b'highway',b'residential',b'regular'
b'11790987',b'cfcc',b'A41',b'tiger'
b'11790987',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11790987',b'reviewed',b'no',b'tiger'
b'11790987',b'name_base',b'Ridge Peak',b'tiger'
b'11790987',b'name_type',b'Ct',b'tiger'
b'11791152',b'name',b'Blue Heron Drive',b'regular'
b'11791152',b'highway',b'residential',b'regular'
b'11791152',b'cfcc',b'A41',b'tiger'
b'11791152',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791152',b'reviewed',b'no',b'tiger'
b'11791152',b'zip_left',b'44139',b'tiger'
b'11791152',b'name_base',b'Blue Heron',b'tiger'
b'11791152',b'name_type',b'Dr',b'tiger'
b'11791152',b'zip_right',b'44139',b'tiger'
b'11791307',b'name',b'Prospect Avenue',b'regular'
b'11791307',b'lanes',b'4',b'regular'
b'11791307',b'highway',b'tertiary',b'regular'
b'11791307',b'cfcc',b'A41',b'tiger'
b'11791307',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791307',b'zip_left',b'44103',b'tiger'
b'11791307',b'name_base',b'Prospect',b'tiger'
b'11791307',b'name_type',b'Ave',b'tiger'
b'11791307',b'zip_right',b'44103',b'tiger'
b'11791449',b'name',b'Rexford Road',b'regular'
b'11791449',b'name_1',b'Rexford Avenue',b'regular'
b'11791449',b'highway',b'residential',b'regular'
b'11791449',b'cfcc',b'A41',b'tiger'
b'11791449',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791449',b'reviewed',b'no',b'tiger'
b'11791449',b'zip_left',b'44140',b'tiger'
b'11791449',b'name_base',b'Rexford',b'tiger'
b'11791449',b'name_type',b'Rd',b'tiger'
b'11791449',b'zip_right',b'44140',b'tiger'
b'11791449',b'name_base_1',b'Rexford',b'tiger'
b'11791449',b'name_type_1',b'Ave',b'tiger'
b'11791616',b'name',b'West 123rd Street',b'regular'
b'11791616',b'highway',b'residential',b'regular'
b'11791616',b'cfcc',b'A41',b'tiger'
b'11791616',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791616',b'reviewed',b'no',b'tiger'
b'11791616',b'zip_left',b'44135',b'tiger'
b'11791616',b'name_base',b'123rd',b'tiger'
b'11791616',b'name_type',b'St',b'tiger'
b'11791616',b'zip_right',b'44135',b'tiger'
b'11791616',b'name_direction_prefix',b'W',b'tiger'
b'11791768',b'name',b'Nell Avenue',b'regular'
b'11791768',b'highway',b'residential',b'regular'
b'11791768',b'cfcc',b'A41',b'tiger'
b'11791768',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791768',b'reviewed',b'no',b'tiger'
b'11791768',b'zip_left',b'44110',b'tiger'
b'11791768',b'name_base',b'Nell',b'tiger'
b'11791768',b'name_type',b'Ave',b'tiger'
b'11791768',b'zip_right',b'44110',b'tiger'
b'11791968',b'highway',b'residential',b'regular'
b'11791968',b'name',b'East 116th Street',b'regular'
b'11791968',b'cfcc',b'A41',b'tiger'
b'11791968',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11791968',b'name_base',b'116th',b'tiger'
b'11791968',b'name_direction_prefix',b'E',b'tiger'
b'11791968',b'name_type',b'St',b'tiger'
b'11791968',b'reviewed',b'no',b'tiger'
b'11791968',b'zip_left',b'44105',b'tiger'
b'11791968',b'zip_right',b'44105',b'tiger'
b'11792182',b'name',b'Overlook Place',b'regular'
b'11792182',b'highway',b'residential',b'regular'
b'11792182',b'cfcc',b'A41',b'tiger'
b'11792182',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792182',b'reviewed',b'no',b'tiger'
b'11792182',b'zip_left',b'44146',b'tiger'
b'11792182',b'name_base',b'Overlook',b'tiger'
b'11792182',b'name_type',b'Pl',b'tiger'
b'11792182',b'zip_right',b'44146',b'tiger'
b'11792332',b'name',b'Britton Drive',b'regular'
b'11792332',b'highway',b'residential',b'regular'
b'11792332',b'cfcc',b'A41',b'tiger'
b'11792332',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792332',b'reviewed',b'no',b'tiger'
b'11792332',b'zip_left',b'44120',b'tiger'
b'11792332',b'name_base',b'Britton',b'tiger'
b'11792332',b'name_type',b'Dr',b'tiger'
b'11792332',b'zip_right',b'44120',b'tiger'
b'11792479',b'name',b'Northcliff Avenue',b'regular'
b'11792479',b'highway',b'residential',b'regular'
b'11792479',b'cfcc',b'A41',b'tiger'
b'11792479',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792479',b'zip_left',b'44144',b'tiger'
b'11792479',b'name_base',b'Northcliff',b'tiger'
b'11792479',b'name_type',b'Ave',b'tiger'
b'11792479',b'zip_right',b'44144',b'tiger'
b'11792650',b'name',b'Hoy Avenue',b'regular'
b'11792650',b'highway',b'residential',b'regular'
b'11792650',b'cfcc',b'A41',b'tiger'
b'11792650',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792650',b'reviewed',b'no',b'tiger'
b'11792650',b'zip_left',b'44105',b'tiger'
b'11792650',b'name_base',b'Hoy',b'tiger'
b'11792650',b'name_type',b'Ave',b'tiger'
b'11792650',b'zip_right',b'44105',b'tiger'
b'11792790',b'name',b'Pine Circle',b'regular'
b'11792790',b'highway',b'residential',b'regular'
b'11792790',b'cfcc',b'A41',b'tiger'
b'11792790',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792790',b'reviewed',b'no',b'tiger'
b'11792790',b'zip_left',b'44070',b'tiger'
b'11792790',b'name_base',b'Pine',b'tiger'
b'11792790',b'name_type',b'Cir',b'tiger'
b'11792790',b'zip_right',b'44070',b'tiger'
b'11792977',b'name',b'Hartwood Road',b'regular'
b'11792977',b'highway',b'residential',b'regular'
b'11792977',b'cfcc',b'A41',b'tiger'
b'11792977',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11792977',b'reviewed',b'no',b'tiger'
b'11792977',b'zip_left',b'44112',b'tiger'
b'11792977',b'name_base',b'Hartwood',b'tiger'
b'11792977',b'name_type',b'Rd',b'tiger'
b'11792977',b'zip_right',b'44112',b'tiger'
b'11793121',b'name',b'Eric Lane',b'regular'
b'11793121',b'highway',b'residential',b'regular'
b'11793121',b'cfcc',b'A41',b'tiger'
b'11793121',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793121',b'zip_left',b'44109',b'tiger'
b'11793121',b'name_base',b'Eric',b'tiger'
b'11793121',b'zip_right',b'44109',b'tiger'
b'11793287',b'name',b'West 158th Street',b'regular'
b'11793287',b'highway',b'residential',b'regular'
b'11793287',b'cfcc',b'A41',b'tiger'
b'11793287',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793287',b'reviewed',b'no',b'tiger'
b'11793287',b'zip_left',b'44135',b'tiger'
b'11793287',b'name_base',b'158th',b'tiger'
b'11793287',b'name_type',b'St',b'tiger'
b'11793287',b'zip_right',b'44135',b'tiger'
b'11793287',b'name_direction_prefix',b'W',b'tiger'
b'11793433',b'name',b'South Sedgewick Road',b'regular'
b'11793433',b'highway',b'residential',b'regular'
b'11793433',b'cfcc',b'A41',b'tiger'
b'11793433',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793433',b'reviewed',b'no',b'tiger'
b'11793433',b'zip_left',b'44124',b'tiger'
b'11793433',b'name_base',b'Sedgewick',b'tiger'
b'11793433',b'name_type',b'Rd',b'tiger'
b'11793433',b'zip_right',b'44124',b'tiger'
b'11793433',b'name_direction_prefix',b'S',b'tiger'
b'11793578',b'name',b'Forestwood Avenue',b'regular'
b'11793578',b'highway',b'residential',b'regular'
b'11793578',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793578',b'zip_left',b'44135',b'tiger'
b'11793578',b'name_base',b'Forestwood',b'tiger'
b'11793578',b'name_type',b'Ave',b'tiger'
b'11793578',b'zip_right',b'44135',b'tiger'
b'11793747',b'name',b'Florentine Way',b'regular'
b'11793747',b'highway',b'residential',b'regular'
b'11793747',b'cfcc',b'A41',b'tiger'
b'11793747',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793747',b'reviewed',b'no',b'tiger'
b'11793747',b'zip_left',b'44138',b'tiger'
b'11793747',b'name_base',b'Florentine',b'tiger'
b'11793747',b'name_type',b'Way',b'tiger'
b'11793747',b'zip_right',b'44138',b'tiger'
b'11793931',b'name',b'School Avenue',b'regular'
b'11793931',b'highway',b'residential',b'regular'
b'11793931',b'cfcc',b'A41',b'tiger'
b'11793931',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11793931',b'reviewed',b'no',b'tiger'
b'11793931',b'name_base',b'School',b'tiger'
b'11793931',b'name_type',b'Ave',b'tiger'
b'11794097',b'name',b'Rydal Wood Lane',b'regular'
b'11794097',b'highway',b'residential',b'regular'
b'11794097',b'cfcc',b'A41',b'tiger'
b'11794097',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794097',b'reviewed',b'no',b'tiger'
b'11794097',b'name_base',b'Rydal Wood',b'tiger'
b'11794097',b'name_type',b'Ln',b'tiger'
b'11794249',b'highway',b'residential',b'regular'
b'11794249',b'name',b'Saint Mark Avenue',b'regular'
b'11794249',b'surface',b'asphalt',b'regular'
b'11794249',b'cfcc',b'A41',b'tiger'
b'11794249',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794249',b'name_base',b'St Mark',b'tiger'
b'11794249',b'name_type',b'Ave',b'tiger'
b'11794249',b'zip_left',b'44111',b'tiger'
b'11794249',b'zip_right',b'44111',b'tiger'
b'11794398',b'name',b'Russell Avenue',b'regular'
b'11794398',b'highway',b'residential',b'regular'
b'11794398',b'cfcc',b'A41',b'tiger'
b'11794398',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794398',b'reviewed',b'no',b'tiger'
b'11794398',b'zip_left',b'44123',b'tiger'
b'11794398',b'name_base',b'Russell',b'tiger'
b'11794398',b'name_type',b'Ave',b'tiger'
b'11794398',b'zip_right',b'44123',b'tiger'
b'11794602',b'name',b'Hinde Court',b'regular'
b'11794602',b'oneway',b'yes',b'regular'
b'11794602',b'highway',b'service',b'regular'
b'11794602',b'service',b'alley',b'regular'
b'11794602',b'cfcc',b'A41',b'tiger'
b'11794602',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794602',b'zip_left',b'44127',b'tiger'
b'11794602',b'name_base',b'Hinde',b'tiger'
b'11794602',b'name_type',b'Ct',b'tiger'
b'11794602',b'zip_right',b'44127',b'tiger'
b'11794758',b'name',b'Elizabeth Avenue',b'regular'
b'11794758',b'highway',b'residential',b'regular'
b'11794758',b'cfcc',b'A41',b'tiger'
b'11794758',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794758',b'reviewed',b'no',b'tiger'
b'11794758',b'zip_left',b'44105',b'tiger'
b'11794758',b'name_base',b'Elizabeth',b'tiger'
b'11794758',b'name_type',b'Ave',b'tiger'
b'11794758',b'zip_right',b'44105',b'tiger'
b'11794937',b'name',b'Robert Avenue',b'regular'
b'11794937',b'highway',b'residential',b'regular'
b'11794937',b'cfcc',b'A41',b'tiger'
b'11794937',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11794937',b'zip_left',b'44109',b'tiger'
b'11794937',b'name_base',b'Robert',b'tiger'
b'11794937',b'name_type',b'Ave',b'tiger'
b'11794937',b'zip_right',b'44109',b'tiger'
b'11795070',b'name',b'Ramona Drive',b'regular'
b'11795070',b'highway',b'residential',b'regular'
b'11795070',b'cfcc',b'A41',b'tiger'
b'11795070',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795070',b'reviewed',b'no',b'tiger'
b'11795070',b'zip_left',b'44130',b'tiger'
b'11795070',b'name_base',b'Ramona',b'tiger'
b'11795070',b'name_type',b'Dr',b'tiger'
b'11795070',b'zip_right',b'44130',b'tiger'
b'11795228',b'name',b'Sanford Avenue',b'regular'
b'11795228',b'highway',b'residential',b'regular'
b'11795228',b'cfcc',b'A41',b'tiger'
b'11795228',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795228',b'reviewed',b'no',b'tiger'
b'11795228',b'zip_left',b'44110',b'tiger'
b'11795228',b'name_base',b'Sanford',b'tiger'
b'11795228',b'name_type',b'Ave',b'tiger'
b'11795228',b'zip_right',b'44110',b'tiger'
b'11795374',b'name',b'Carrie Lane',b'regular'
b'11795374',b'highway',b'residential',b'regular'
b'11795374',b'cfcc',b'A41',b'tiger'
b'11795374',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795374',b'reviewed',b'no',b'tiger'
b'11795374',b'zip_left',b'44138',b'tiger'
b'11795374',b'name_base',b'Carrie',b'tiger'
b'11795374',b'name_type',b'Ln',b'tiger'
b'11795374',b'zip_right',b'44138',b'tiger'
b'11795603',b'name',b'Rosbough Boulevard',b'regular'
b'11795603',b'name_1',b'Rosbough Drive',b'regular'
b'11795603',b'highway',b'residential',b'regular'
b'11795603',b'cfcc',b'A41',b'tiger'
b'11795603',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795603',b'reviewed',b'no',b'tiger'
b'11795603',b'zip_left',b'44130',b'tiger'
b'11795603',b'name_base',b'Rosbough',b'tiger'
b'11795603',b'name_type',b'Blvd',b'tiger'
b'11795603',b'zip_right',b'44130',b'tiger'
b'11795603',b'name_base_1',b'Rosbough',b'tiger'
b'11795603',b'name_type_1',b'Dr',b'tiger'
b'11795773',b'name',b'Meadow Lane',b'regular'
b'11795773',b'highway',b'residential',b'regular'
b'11795773',b'cfcc',b'A41',b'tiger'
b'11795773',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795773',b'reviewed',b'no',b'tiger'
b'11795773',b'zip_left',b'44146',b'tiger'
b'11795773',b'name_base',b'Meadow',b'tiger'
b'11795773',b'name_type',b'Ln',b'tiger'
b'11795773',b'zip_right',b'44146',b'tiger'
b'11795931',b'name',b'Independence Court',b'regular'
b'11795931',b'highway',b'residential',b'regular'
b'11795931',b'cfcc',b'A41',b'tiger'
b'11795931',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11795931',b'reviewed',b'no',b'tiger'
b'11795931',b'zip_left',b'44139',b'tiger'
